row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
1292;204.07443;205.0817;1284.38;.alpha.-Aspartylalanine;;1292_205.0817_1284.38;;1.3403;0.71676;;;;
1851;165.0774;166.08467;305.07;[4-(Methylamino)phenyl]acetic acid;;1851_166.08467_305.07;;;;;;;
945;150.09833;151.1056;994.65;1-(2,2-Difluoroethyl)piperazine;;945_151.1056_994.65;;;;;;;
532;245.12218;246.12946;413.8;1-(4-Fluorophenyl)-N-(4-methoxybenzyl)methanamine;;532_246.12946_413.8;;0.49094;1.7354;;;;
1732;199.11374;200.12102;88.59;1-(5,5-Dimethyl-4,5-dihydro-1,3-thiazol-2-yl)piperazine;;1732_200.12102_88.59;;;;;;;
911;509.30972;510.31699;916.15;1,2-Bis(O-octanoyl)-sn-glycerylphophorylcholine;;911_510.31699_916.15;;;;;;;
656;162.10605;163.11333;506.76;1-[3-(Propan-2-yl)phenyl]ethan-1-one;;656_163.11333_506.76;;0.32529;0.64092;;;;
925;324.26332;325.2706;948.72;13[(2R,3S)-3-Pentyloxiranyl]-8Z-tridecenoic acid;;925_325.2706_948.72;;;;;;;
1091;342.1826;343.18987;1150.53;1-Acetyl-10a,12a-dimethyl-4,4a,4b,5,6,10b,11,12-octahydro-1H-naphtho[2,1-f]isochromene-3,8-dione;;1091_343.18987_1150.53;;;;;;;
441;236.113;237.12027;254.11;1-Cyclohexyl-6,7-difluoro-1,3-benzodiazole;;441_237.12027_254.11;;;;;;;
2037;481.34885;482.35613;917.49;1-Hexadecyl-sn-glycero-3-phosphocholine;;2037_482.35613_917.49;;;;;;;
405;241.13458;242.14186;90.5;1H-Spiro[benzo[4,5]imidazo[1,2-a][1,3,5]triazine-4,1'-cyclopentan]-2-amine;;405_242.14186_90.5;;;;;;;
2269;765.56046;766.56774;1198.72;1-O-Hexadecyl-2-O-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glyceryl-3-phosphorylcholine;;2269_766.56774_1198.72;;0.12313;0.42519;-805.9400536;C41H75N5O8;null;PubChem:(73388761)
2101;523.35927;524.36654;1017.4;1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine;;2101_524.36654_1017.4;;1.951;0.25782;;;;
2115;523.35882;524.3661;1044.48;1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine;;2115_524.3661_1044.48;;1.3706;1.6816;;;;
2222;809.58837;810.59565;1160.99;1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine;PC(C38:4);2222_810.59565_1160.99;;1.8258;2.9627;;;;
2178;809.5879;810.59517;1124.98;1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine;;2178_810.59517_1124.98;;2.4113;2.2039;;;;
